fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 3,3fl00002,7970 Central Industrial Blvd (3fl00002),7970 Central Industrial Blvd,1,2022-10-01,2031-01-31,100.0,65.7,,39972.0,,K1 Racing (t0000951),Industrial Net,100.0,2.75,46836.52,1.17,562038.24,14.06,5.62,0,0,Fund 3
FUND 3,3fl00002,7970 Central Industrial Blvd (3fl00002),7970 Central Industrial Blvd,PARK,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00003,3330 NW 60th St (3fl00003),3330 NW 60th St,3330,2022-06-23,2025-12-31,42.3,4.7,,32846.0,,"Garland, LLC (t0000866)",Industrial Net,43.0,3.08,46531.83,1.42,558381.96,17,4.81,0,0,Fund 3
FUND 3,3fl00004,13281 NW 43rd Ave (3fl00004),13281 NW 43rd Ave,100,2022-08-01,2027-07-31,60.0,23.7,,28341.0,,"Ortega Industries and Manufacturing, Corp. (t0000918)",Industrial Net,60.0,2.92,21297.43,0.75,255569.16,9.02,5,0,0,Fund 3
FUND 3,3fl00005,920 NW 159 Drive (3fl00005),920 NW 159 Drive,A,2023-12-22,2039-02-28,182.2,162.6,,32082.0,,Krispy Kreme Donut Corporation (t0001163),Industrial Net,183.0,1.58,41506.09,1.29,498073.08,15.53,5.91,0,0,Fund 3
FUND 3,3fl00006,4390 Westroads Drive (3fl00006),4390 Westroads Drive,AB,2023-03-23,2026-03-31,36.3,7.7,,12000.0,,"J&I Ventures, INC. (t0001011)",Industrial Gross,37.0,2.33,11255.09,0.94,135061.08,11.26,0,0,0,Fund 3
FUND 3,3fl00006,4390 Westroads Drive (3fl00006),4390 Westroads Drive,"C,  D",2023-03-23,2027-07-31,52.3,23.7,,17280.0,,Gorilla Rides LLC (t0001010),Industrial Net,53.0,2.33,21386,1.24,256632,14.85,6.5,0,0,Fund 3
FUND 3,3fl00007,4570 NW 128th Street  (3fl00007),4570 NW 128th Street,BB,2019-08-23,2029-08-22,120.0,48.4,0.0,0.0,,Clear Channel (t0001029),Industrial Gross,120.0,5.92,0,0,0,0,0,0,0,Fund 3
FUND 3,3fl00007,4570 NW 128th Street  (3fl00007),4570 NW 128th Street,4570,,,,,,39515.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00008,13000 NW 38th Ave (3fl00008),13000 NW 38th Ave,100,2023-12-19,2027-09-07,44.6,24.9,,58585.0,,Atlas Packaging Inc. (t0001166),Industrial Net,45.0,1.58,44895.96,0.77,538751.52,9.2,5.75,0,0,Fund 3
FUND 3,3fl00009,13001 NW 38th Ave (3fl00009),13001 NW 38th Ave,A,2023-12-19,2027-09-15,44.9,25.2,,27000.0,,"Gemcap Investments, LLC (t0001169)",Industrial Net,45.0,1.58,28594.8,1.06,343137.6,12.71,6.27,0,0,Fund 3
FUND 3,3fl00009,13001 NW 38th Ave (3fl00009),13001 NW 38th Ave,B,2023-12-19,2026-05-18,28.9,9.2,,31780.0,,"S and M Transportation, Inc. (t0001170)",Industrial Net,29.0,1.58,31515.17,0.99,378182.04,11.9,6.27,0,0,Fund 3
FUND 3,3fl00010,12900 NW 38th Ave (3fl00010),12900 NW 38th Ave,100,2023-12-19,2028-02-02,49.5,29.8,,25050.0,,"BES Associates, Corp. (t0001165)",Industrial Net,50.0,1.58,26275.14,1.05,315301.68,12.59,6.73,0,0,Fund 3
FUND 3,3fl00011,2479 Eunice Ave (3fl00011),2479 Eunice Ave,100,2023-12-21,2030-12-31,84.3,64.7,0.0,121440.0,,"Christie Lites Orlando, LLC (t0001172)",Industrial Net,85.0,1.58,85777.12,0.71,1029325.44,8.48,0.03,0,0,Fund 3
FUND 3,3fl00012,2550 Cabot Commerce Dr (3fl00012),2550 Cabot Commerce Dr,21,2024-08-15,2028-07-31,47.5,35.7,0.0,48000.0,,Mueller Streamline Co. (t0001310),Industrial Net,48.0,0.92,26000,0.54,312000,6.5,3.02,2.3,0,Fund 3
FUND 3,3fl00012,2550 Cabot Commerce Dr (3fl00012),2550 Cabot Commerce Dr,22,2024-08-15,2025-12-31,16.5,4.7,,36000.0,,PAS Reform North America LLC (t0001282),Industrial Net,17.0,0.92,16140,0.45,193680,5.38,3.12,0,0,Fund 3
FUND 3,3fl00012,2550 Cabot Commerce Dr (3fl00012),2550 Cabot Commerce Dr,400,2024-08-15,2029-05-31,57.5,45.7,,48055.0,,"Caribbean Shipping Services, Inc. (t0001286)",Industrial Net,58.0,0.92,21184.25,0.44,254211,5.29,3.11,0,0,Fund 3
FUND 3,3fl00012,2550 Cabot Commerce Dr (3fl00012),2550 Cabot Commerce Dr,600,2024-08-15,2026-12-31,28.5,16.7,,60055.0,,Iron Mountain Information Management LLC (t0001319),Industrial Net,29.0,0.92,39536.21,0.66,474434.52,7.9,3.02,0,0,Fund 3
FUND 3,3fl00013,11070 Cabot Commerce Circle (3fl00013),11070 Cabot Commerce Circle,"1,  2",2024-08-15,2027-04-30,32.5,20.6,,132165.0,,"Air-Van, Inc. (t0001314)",Industrial Net,33.0,0.92,53765.49,0.41,645185.88,4.88,3.03,0,0,Fund 3
FUND 3,3fl00014,11084 Cabot Commerce Circle (3fl00014),11084 Cabot Commerce Circle,100-300,2024-08-15,2029-07-31,59.5,47.7,,52500.0,,"AJC Logistics, LLC (t0001312)",Industrial Net,60.0,0.92,27094.38,0.52,325132.56,6.19,3.2,1.11,0,Fund 3
FUND 3,3fl00014,11084 Cabot Commerce Circle (3fl00014),11084 Cabot Commerce Circle,200,2024-08-15,2027-03-31,31.5,19.6,0.0,63165.0,,Amazon.com Services LLC (t0001290),Industrial Net,32.0,0.92,30792.94,0.49,369515.28,5.85,3.11,0,0,Fund 3
FUND 3,3fl00015,2562 Cabot Commerce Circle (3fl00015),2562 Cabot Commerce Circle,1,2024-08-15,2028-10-31,50.5,38.7,,129665.0,,"Margo State Line, Inc. (t0001318)",Industrial Net,51.0,0.92,54567.35,0.42,654808.2,5.05,3.12,0,0,Fund 3
FUND 3,3fl00019,12750-12770 SW 125th Avenue (3fl00019),12750-12770 SW 125th Avenue,1,2024-11-15,2029-12-31,61.5,52.7,,2300.0,,"South Florida Center for Percussive Arts, Inc. (t0001360)",Industrial Net,62.0,0.67,3800.27,1.65,45603.24,19.83,2.35,0,0,Fund 3
FUND 3,3fl00019,12750-12770 SW 125th Avenue (3fl00019),12750-12770 SW 125th Avenue,100,2024-11-15,2028-06-30,43.5,34.7,0.0,0.0,,Trane U.S. Inc. (t0001361),Industrial Net,44.0,0.67,39440.52,0,473286.24,0,0,0,0,Fund 3
FUND 3,3fl00019,12750-12770 SW 125th Avenue (3fl00019),12750-12770 SW 125th Avenue,2-3,2024-11-15,2029-12-31,61.5,52.7,,4600.0,,"MFR Kendall, LLC (t0001362)",Industrial Net,62.0,0.67,7168.33,1.56,86019.96,18.7,1.17,0,0,Fund 3
FUND 3,3fl00020,1410 SW 29th Avenue (3fl00020),1410 SW 29th Avenue,100,2025-03-24,2028-09-30,42.2,37.7,,10400.0,,"Morningday Community Solutions, Inc. (t0001459)",Modified Gross,43.0,0.33,9026.64,0.87,108319.68,10.42,0,0,0,Fund 3
FUND 3,3fl00020,1410 SW 29th Avenue (3fl00020),1410 SW 29th Avenue,300,2025-03-24,2026-04-30,13.2,8.6,0.0,3714.0,,"United Circuits, Inc.  (t0001460)",Modified Gross,14.0,0.33,5755.38,1.55,69064.56,18.6,0,0,0,Fund 3
FUND 3,3fl00020,1410 SW 29th Avenue (3fl00020),1410 SW 29th Avenue,400,2025-03-24,2026-11-30,20.2,15.7,,6808.0,,BAR Group LLC (t0001458),Modified Gross,21.0,0.33,9349.65,1.37,112195.8,16.48,0,0,0,Fund 3
FUND 3,3fl00021,"14550 58th Street N, Clearwater, FL (3fl00021)","14550 58th Street N, Clearwater, FL",100,2025-05-19,2029-11-30,54.4,51.7,,40508.0,,"Carr Biosystems, LLC (t0001532)",Industrial Net,55.0,0.17,37064.82,0.92,444777.84,10.98,4.25,0,0,Fund 3
FUND 3,3fl00022,2025 NW 15th Ave. (3fl00022),2025 NW 15th Ave.,100,2025-06-02,2029-06-30,48.9,46.6,0.0,16455.0,,** Prohub Pompano LLC (t0001585),Industrial Net,49.0,0.08,15344.29,0.93,184131.48,11.19,4.62,0,0,Fund 3
FUND 3,3fl00022,2025 NW 15th Ave. (3fl00022),2025 NW 15th Ave.,200,2025-06-02,2026-12-31,19.0,16.7,0.0,32715.0,,"** Procraft Cabinetry Florida, LLC (t0001584)",Industrial Net,19.0,0.08,25321.9,0.77,303862.8,9.29,4.68,0,0,Fund 3
FUND 3,3fl00023,6400 Park of Commerce Boulevard (3fl00023),6400 Park of Commerce Boulevard,101,2025-06-02,2025-08-31,3.0,0.7,0.0,22610.0,,"** Distinctive Kitchen and Baths, Inc.  (t0001610)",Industrial Net,3.0,0.08,27280.17,1.21,327362.04,14.48,5.26,0,0,Fund 3
FUND 3,3fl00023,6400 Park of Commerce Boulevard (3fl00023),6400 Park of Commerce Boulevard,200,2025-06-02,2030-07-31,61.9,59.7,0.0,18504.0,,** Avini Health Corporation (t0001609),Industrial Net,62.0,0.08,25017.41,1.35,300208.92,16.22,5.21,0,0,Fund 3
FUND 3,3fl00023,6400 Park of Commerce Boulevard (3fl00023),6400 Park of Commerce Boulevard,300,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00024,6500 Park of Commerce Boulevard (3fl00024),6500 Park of Commerce Boulevard,100,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00024,6500 Park of Commerce Boulevard (3fl00024),6500 Park of Commerce Boulevard,100A,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00024,6500 Park of Commerce Boulevard (3fl00024),6500 Park of Commerce Boulevard,200,2025-06-02,2026-08-31,14.9,12.7,0.0,29965.0,,"** Travelpro Products, Inc. (t0001574)",Industrial Net,15.0,0.08,35779.79,1.19,429357.48,14.33,4.31,0,0,Fund 3
FUND 3,3fl00025,4935 Park Ridge Blvd (3fl00025),4935 Park Ridge Blvd,1,2025-06-02,2027-07-31,25.9,23.7,0.0,3900.0,,** Engineering Tomorrow Co (t0001620),Industrial Net,26.0,0.08,5200,1.33,62400,16,5.74,0,0,Fund 3
FUND 3,3fl00025,4935 Park Ridge Blvd (3fl00025),4935 Park Ridge Blvd,2,2025-06-02,2026-07-31,13.9,11.7,0.0,4935.0,,** Camblue Brands LLC (t0001619),Industrial Net,14.0,0.08,7698.6,1.56,92383.2,18.72,6.08,0,0,Fund 3
FUND 3,3fl00025,4935 Park Ridge Blvd (3fl00025),4935 Park Ridge Blvd,4935,2025-06-02,2029-01-31,44.0,41.7,0.0,13900.0,,** Amici Developments LP (t0001615),Industrial Net,44.0,0.08,18371.17,1.32,220454.04,15.86,6.17,0,0,Fund 3
FUND 3,3fl00026,4531 Oak Fair Blvd. (3fl00026),4531 Oak Fair Blvd.,100,2025-06-02,2028-06-30,36.9,34.7,0.0,47912.0,,"** Lifefleet Southeast, Inc. (t0001611)",Industrial Net,37.0,0.08,28747.2,0.6,344966.4,7.2,4.26,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,100,2025-06-02,2028-10-31,41.0,38.7,0.0,10080.0,,"** Freecast, Inc. (t0001583)",Industrial Net,41.0,0.08,10540,1.05,126480,12.55,4.4,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,250,2025-06-02,2025-10-31,5.0,2.7,0.0,3360.0,,** Sposa Fashions LLC (t0001586),Industrial Net,5.0,0.08,3482.75,1.04,41793,12.44,4.4,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,300,2025-06-02,2025-10-31,5.0,2.7,0.0,3360.0,,** Criticare Technologies Inc. (t0001579),Industrial Net,5.0,0.08,4706.8,1.4,56481.6,16.81,4.2,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,350,2025-06-02,2029-07-31,49.9,47.7,0.0,3360.0,,"** Amber Diagnostics, Inc. (t0001581)",Industrial Net,50.0,0.08,4382,1.3,52584,15.65,3.81,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,400,2025-06-02,2025-07-31,1.9,0.0,0.0,3360.0,,"** DDI Transportation, Inc. (t0001580)",Industrial Net,2.0,0.08,4012.74,1.19,48152.88,14.33,3.78,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,450,2025-06-02,2025-12-31,7.0,4.7,0.0,3360.0,,** Church of the Sower (t0001587),Industrial Net,7.0,0.08,1545.6,0.46,18547.2,5.52,4.61,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,500,2025-06-02,2026-05-31,11.9,9.7,0.0,3360.0,,"** Tecport Optics, Inc. (t0001588)",Industrial Net,12.0,0.08,3937.02,1.17,47244.24,14.06,4.35,0,0,Fund 3
FUND 3,3fl00027,6901 TPC Drive (3fl00027),6901 TPC Drive,650,2025-06-02,2027-11-30,29.9,27.7,0.0,10080.0,,"** LGCY Power, LLC (t0001582)",Industrial Net,30.0,0.08,8976.41,0.89,107716.92,10.69,4.39,0,0,Fund 3
FUND 3,3fl00028,6435 Hazeltine National Drive (3fl00028),6435 Hazeltine National Drive,150,2025-06-02,2027-09-30,27.9,25.7,0.0,6710.0,,** Delta Sigma Controls LLC (t0001642),Industrial Net,28.0,0.08,7551.89,1.13,90622.68,13.51,4.87,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,100,2025-06-02,2030-03-31,57.9,55.7,0.0,16185.0,,** KB Home Jacksonville LLC (t0001544),Industrial Net,58.0,0.08,17870.94,1.1,214451.28,13.25,4.34,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,101,2025-06-02,2026-08-31,14.9,12.7,0.0,7592.0,,"** Alliant Engineering, Inc. (t0001548)",Industrial Net,15.0,0.08,8813.05,1.16,105756.6,13.93,3.64,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,110,2025-06-02,2030-04-30,58.9,56.6,0.0,7117.0,,"** Cady Studios, LLC (t0001549)",Industrial Net,59.0,0.08,8078.66,1.14,96943.92,13.62,3.39,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,120,2025-06-02,2029-02-28,44.9,42.6,0.0,9473.0,,"**  Renue By Science, Inc. (t0001547)",Industrial Net,45.0,0.08,10672.91,1.13,128074.92,13.52,3.65,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,201,2025-06-02,2026-04-30,10.9,8.6,0.0,10857.0,,"** LG2 Environmental Solutions, Inc.  (t0001542)",Industrial Net,11.0,0.08,12173.41,1.12,146080.92,13.45,3.06,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,203,2025-06-02,2029-04-30,46.9,44.6,0.0,3217.0,,"** One Link Systems, LLC (t0001546)",Industrial Net,47.0,0.08,3694.19,1.15,44330.28,13.78,3.05,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,205,2025-06-02,2027-12-31,30.9,28.7,0.0,3259.0,,"** R.E. Murphy Group, Inc. (t0001545)",Industrial Net,31.0,0.08,3731,1.14,44772,13.74,3.05,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,210,2025-06-02,2027-06-30,24.9,22.6,0.0,15898.0,,"** Empire Today, LLC (t0001540)",Industrial Net,25.0,0.08,11579.04,0.73,138948.48,8.74,3.2,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,211,2025-06-02,2025-09-30,3.9,1.7,0.0,19200.0,,"** Quality Stones, Inc. (t0001550)",Industrial Net,4.0,0.08,15744,0.82,188928,9.84,3.18,0,0,Fund 3
FUND 3,3fl00029,10475 Fortune Parkway (3fl00029),10475 Fortune Parkway,220,2025-06-02,2030-01-31,56.0,53.7,0.0,4430.0,,"** Tencarva Machinery Company, LLC (t0001543)",Industrial Net,56.0,0.08,4522.29,1.02,54267.48,12.25,3.09,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,"1,  2",2025-06-02,2025-10-31,5.0,2.7,0.0,9600.0,,"** T.C. Exports, Inc. (t0001605)",Industrial Net,5.0,0.08,12348,1.29,148176,15.44,2.65,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,"100,  200",2025-06-02,2027-03-31,21.9,19.6,0.0,14880.0,,"** B&I Contractors, Inc. (t0001594)",Industrial Net,22.0,0.08,16993.3,1.14,203919.6,13.7,5.36,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,"100A,  200A,  300A,  400A",2025-06-02,2027-07-31,25.9,23.7,0.0,199200.0,,** Larson Cando Inc. (t0001600),Industrial Net,26.0,0.08,42662,0.21,511944,2.57,1.31,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,100B,2025-06-02,2027-09-30,27.9,25.7,0.0,14880.0,,"** Automotive Manufacturing Group, Inc (t0001601)",Industrial Net,28.0,0.08,17732,1.19,212784,14.3,5.17,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,200B,2025-06-02,2026-03-31,9.9,7.7,0.0,4800.0,,"** Flite-Rite Industries, Inc. (t0001603)",Industrial Net,10.0,0.08,6704,1.4,80448,16.76,5.53,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,300,2025-06-02,2027-11-30,29.9,27.7,0.0,4800.0,,"** Coolsys Commercial & Industrial Solutions, Inc. (t0001592)",Industrial Net,30.0,0.08,6800,1.42,81600,17,5.53,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,300B,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,300C,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,500,2025-06-02,2027-11-30,29.9,27.7,0.0,5976.0,,** Ray-Mar Inc. (t0001593),Industrial Net,30.0,0.08,7549,1.26,90588,15.16,5.31,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,500A,2025-06-02,2027-04-30,22.9,20.6,0.0,4800.0,,** Price Point Perfumes LLC (t0001604),Industrial Net,23.0,0.08,7072,1.47,84864,17.68,5.53,0,0,Fund 3
FUND 3,3fl00030,6200-6320 North Hiatus Road (3fl00030),6200-6320 North Hiatus Road,600,2025-06-02,2027-11-30,29.9,27.7,0.0,7200.0,,"** Brink's, Incorporated (t0001602)",Industrial Net,30.0,0.08,4950,0.69,59400,8.25,5.02,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,101,2025-06-02,2027-02-28,20.9,18.6,0.0,1536.0,,** Globaltech Inc. (t0001569),Industrial Net,21.0,0.08,1331.2,0.87,15974.4,10.4,7.08,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,101-645,2025-06-02,2028-07-31,37.9,35.7,0.0,2400.0,,"** All American Signs and Graphics, Inc. (t0001599)",Industrial Gross,38.0,0.08,3461.12,1.44,41533.44,17.31,0,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,102,2025-06-02,2025-10-31,5.0,2.7,0.0,1536.0,,** Advance Construction and Renovation Inc. (t0001570),Modified Gross,5.0,0.08,1880.76,1.22,22569.12,14.69,2.17,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,102-645,2025-06-02,2026-03-31,9.9,7.7,0.0,2400.0,,"** Velocare, LLC (t0001597)",Industrial Net,10.0,0.08,3182.7,1.33,38192.4,15.91,0.56,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,103,2025-06-02,2025-12-31,7.0,4.7,0.0,1536.0,,"** Kona Ice of White City, LLC (t0001575)",Industrial Net,7.0,0.08,2176,1.42,26112,17,2.12,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,103-645,2025-06-02,2025-06-30,0.9,0.0,0.0,2400.0,,"** Precision Medical Supply, LLC (t0001589)",Industrial Net,1.0,0.08,3182.7,1.33,38192.4,15.91,2.06,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,104,2025-06-02,2029-12-31,55.0,52.7,0.0,2400.0,,** Nutraflax Weightloss & Wellness Products LLC (t0001595),Industrial Net,55.0,0.08,2200,0.92,26400,11,6.31,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,104A,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,105,2025-06-02,2026-06-30,12.9,10.6,0.0,1536.0,,"** Distinctive Kitchen and Baths, Inc. (t0001571)",Modified Gross,13.0,0.08,1538.56,1,18462.72,12.02,3.98,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,105-645,2025-06-02,2027-03-31,21.9,19.6,0.0,2400.0,,** Davinci Imports LLC (t0001598),Industrial Gross,22.0,0.08,2678,1.12,32136,13.39,0,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,"106,  107",2025-06-02,2029-07-31,49.9,47.7,0.0,4800.0,,"** Terracon Consultants, Inc. (t0001591)",Industrial Net,50.0,0.08,6510,1.36,78120,16.27,0.35,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,106A,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,107A,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,108,2025-06-02,2026-06-30,12.9,10.6,0.0,1536.0,,"** Accurate Electrical Contracting, Inc. (t0001572)",Industrial Gross,13.0,0.08,2215.68,1.44,26588.16,17.31,0,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,109,2025-06-02,2026-01-31,8.0,5.7,0.0,1536.0,,** Juan B. Marcano (t0001573),Industrial Gross,8.0,0.08,2036.93,1.33,24443.16,15.91,0,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,110,2025-06-02,2026-04-30,10.9,8.6,0.0,1536.0,,** Game Speed Mechanics LLC  (t0001576),Industrial Net,11.0,0.08,2036.93,1.33,24443.16,15.91,0,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,111,2025-06-02,2029-06-30,48.9,46.6,0.0,1536.0,,"** Xtreme Polishing Systems, LLC (t0001578)",Industrial Net,49.0,0.08,1464.32,0.95,17571.84,11.44,7.08,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,111A,,,,,,0.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,112,2025-06-02,2027-05-31,23.9,21.6,0.0,12000.0,,** IDproductsource L.L.C. (t0001596),Industrial Net,24.0,0.08,11470,0.96,137640,11.47,3.29,0,0,Fund 3
FUND 3,3fl00031,645-651 Enterprise Drive (3fl00031),645-651 Enterprise Drive,113,2025-06-02,2027-12-31,30.9,28.7,0.0,1536.0,,** Platinum Blu Pools LLC (t0001577),Industrial Net,31.0,0.08,1280,0.83,15360,10,7.08,0,0,Fund 3
FUND 3,3ga00001,2160 Hills Avenue (3ga00001),2160 Hills Avenue,A,2025-06-01,2035-11-30,126.0,123.7,,8052.0,,"CFC Group, LLC (t0001341)",Industrial Net,126.0,0.08,11869.99,1.47,142439.88,17.69,2.96,0,0,Fund 3
FUND 3,3ga00001,2160 Hills Avenue (3ga00001),2160 Hills Avenue,B,2023-05-01,2028-06-30,62.0,34.7,,13950.0,,Goodman Decorating (t0001020),Industrial Net,62.0,2.17,15491.13,1.11,185893.56,13.33,3.36,0.57,0,Fund 3
FUND 3,3ga00001,2160 Hills Avenue (3ga00001),2160 Hills Avenue,C,2025-04-01,2030-09-30,66.0,61.7,,10285.0,,"Champion Gymnastics & Cheer, LLC, (t0001271)",Industrial Net,66.0,0.25,11270.65,1.1,135247.8,13.15,3.11,0,0,Fund 3
FUND 3,3ga00002,801 Blacklawn Road (3ga00002),801 Blacklawn Road,"F,  N",2018-01-01,2029-12-31,144.0,52.7,,53497.0,,"Teijin Aramid USA, Inc. (t0000912)",Industrial Net,144.0,7.5,26035.21,0.49,312422.52,5.84,2.43,0.1,0,Fund 3
FUND 3,3ga00002,801 Blacklawn Road (3ga00002),801 Blacklawn Road,OPQR,2022-07-28,2028-11-30,76.1,39.7,,38383.0,,"Clique Here, LLC (t0000910)",Industrial Net,77.0,3,22230.15,0.58,266761.85,6.95,2.31,0.1,0,Fund 3
FUND 3,3ga00002,801 Blacklawn Road (3ga00002),801 Blacklawn Road,1,,,,,,19660.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ga00003,1100 Shallowford Rd (3ga00003),1100 Shallowford Rd,1100,2022-08-02,2030-08-31,96.9,60.7,,101334.0,,"Pacesetter Steel Service, Inc. (t0000924)",Industrial Net,97.0,2.92,50667,0.5,608004,6,1.31,0,0,Fund 3
FUND 3,3ga00004,2005 Marietta Rd (3ga00004),2005 Marietta Rd,A,2023-12-01,2025-12-31,25.0,4.7,,15372.0,,Brasfield Gorrie (t0001100),Industrial Net,25.0,1.58,16653,1.08,199836,13,5.11,0,0,Fund 3
FUND 3,3ga00004,2005 Marietta Rd (3ga00004),2005 Marietta Rd,B,2023-12-01,2025-12-31,25.0,4.7,,11828.0,,"Gaylor Electric, Inc. (t0001152)",Industrial Net,25.0,1.58,12813.67,1.08,153764.04,13,5.11,0,0,Fund 3
FUND 3,3ga00005,370 Gees Mill (3ga00005),370 Gees Mill,A,2024-03-01,2031-05-31,87.0,69.6,,30523.0,,"Eckart, LLC (t0001178)",Industrial Net,87.0,1.33,18914.09,0.62,226969.08,7.44,2.52,0,0,Fund 3
FUND 3,3ga00006,3905 Steve Reynolds Blvd (3ga00006),3905 Steve Reynolds Blvd,100,2024-06-28,2025-12-31,18.1,4.7,,23200.0,,"B & D Industrial, Inc. (t0001245)",Industrial Net,19.0,1.08,12861.89,0.55,154342.68,6.65,4.08,0,0,Fund 3
